Method,Metric,Seed,Split,Task,Metric Name
KL-min,0.0,4,autoimmune,contraindication,Precision@10
KL-min,0.002355157795572303,4,autoimmune,contraindication,Precision@K
JS-min,0.4915064434950842,4,autoimmune,contraindication,AUPRC
JS-min,0.4884091154764596,4,autoimmune,contraindication,AUROC
JS-min,0.0009420631182289214,4,autoimmune,contraindication,Recall@100
JS-min,0.6232092429772678,4,autoimmune,contraindication,Avg Rank
JS-min,0.0018181818181818182,4,autoimmune,contraindication,Precision@100
JS-min,0.0,4,autoimmune,contraindication,Precision@10
JS-min,0.001413094677343382,4,autoimmune,contraindication,Precision@K
HGT,0.7120819073944955,4,autoimmune,contraindication,AUPRC
HGT,0.707324023938444,4,autoimmune,contraindication,AUROC
HGT,0.096346268942091,4,autoimmune,contraindication,Recall@100
HGT,0.4933364924163062,4,autoimmune,contraindication,Avg Rank
HGT,0.05909090909090909,4,autoimmune,contraindication,Precision@100
HGT,0.045454545454545456,4,autoimmune,contraindication,Precision@10
HGT,0.041899900316577025,4,autoimmune,contraindication,Precision@K
HAN,0.4088337890856295,4,autoimmune,contraindication,AUPRC
HAN,0.3474906889672861,4,autoimmune,contraindication,AUROC
HAN,0.02319830428638719,4,autoimmune,contraindication,Recall@100
HAN,0.1883245923725954,4,autoimmune,contraindication,Avg Rank
HAN,0.0018181818181818182,4,autoimmune,contraindication,Precision@100
HAN,0.0,4,autoimmune,contraindication,Precision@10
HAN,0.0004710315591144607,4,autoimmune,contraindication,Precision@K
RGCN,0.6786957627688259,4,autoimmune,contraindication,AUPRC
RGCN,0.6991578306030798,4,autoimmune,contraindication,AUROC
RGCN,0.14408757469202868,4,autoimmune,contraindication,Recall@100
RGCN,0.5269844179537417,4,autoimmune,contraindication,Avg Rank
RGCN,0.04363636363636364,4,autoimmune,contraindication,Precision@100
RGCN,0.02727272727272728,4,autoimmune,contraindication,Precision@10
RGCN,0.03803256192372077,4,autoimmune,contraindication,Precision@K
BioBERT,0.40791768403207374,4,autoimmune,contraindication,AUPRC
BioBERT,0.354104224604711,4,autoimmune,contraindication,AUROC
BioBERT,0.01832276250880902,4,autoimmune,contraindication,Recall@100
BioBERT,0.46700898031079363,4,autoimmune,contraindication,Avg Rank
BioBERT,0.0036363636363636364,4,autoimmune,contraindication,Precision@100
BioBERT,0.0,4,autoimmune,contraindication,Precision@10
BioBERT,0.0036422789164083295,4,autoimmune,contraindication,Precision@K
TxGNN,0.8674587996924964,4,autoimmune,contraindication,AUPRC
TxGNN,0.8750208822633425,4,autoimmune,contraindication,AUROC
TxGNN,0.22836260600284744,4,autoimmune,contraindication,Recall@100
TxGNN,0.6344027070768206,4,autoimmune,contraindication,Avg Rank
TxGNN,0.06727272727272728,4,autoimmune,contraindication,Precision@100
TxGNN,0.09999999999999999,4,autoimmune,contraindication,Precision@10
TxGNN,0.07859883546658515,4,autoimmune,contraindication,Precision@K
Proximity,0.5117567745951306,4,autoimmune,contraindication,AUPRC
Proximity,0.5172069849942512,4,autoimmune,contraindication,AUROC
Proximity,0.011205671498806488,4,autoimmune,contraindication,Recall@100
Proximity,0.5649359652183357,4,autoimmune,contraindication,Avg Rank
Proximity,0.005454545454545455,4,autoimmune,contraindication,Precision@100
Proximity,0.009090909090909092,4,autoimmune,contraindication,Precision@10
Proximity,0.015444955530836635,4,autoimmune,contraindication,Precision@K
DSD-min,0.5250424457990013,5,autoimmune,contraindication,AUPRC
DSD-min,0.5430174624856281,5,autoimmune,contraindication,AUROC
DSD-min,0.0015281140115457504,5,autoimmune,contraindication,Recall@100
DSD-min,0.6081208715389755,5,autoimmune,contraindication,Avg Rank
DSD-min,0.0018181818181818182,5,autoimmune,contraindication,Precision@100
DSD-min,0.0,5,autoimmune,contraindication,Precision@10
DSD-min,0.0024701771297746715,5,autoimmune,contraindication,Precision@K
KL-min,0.509672507232585,5,autoimmune,contraindication,AUPRC
KL-min,0.524208685056161,5,autoimmune,contraindication,AUROC
KL-min,0.0701809637524784,5,autoimmune,contraindication,Recall@100
KL-min,0.5378573494443675,5,autoimmune,contraindication,Avg Rank
KL-min,0.004545454545454546,5,autoimmune,contraindication,Precision@100
KL-min,0.0,5,autoimmune,contraindication,Precision@10
KL-min,0.001413094677343382,5,autoimmune,contraindication,Precision@K
JS-min,0.4690262345176062,5,autoimmune,contraindication,AUPRC
JS-min,0.4522262949460009,5,autoimmune,contraindication,AUROC
JS-min,0.001413094677343382,5,autoimmune,contraindication,Recall@100
JS-min,0.5363093071843391,5,autoimmune,contraindication,Avg Rank
JS-min,0.002727272727272727,5,autoimmune,contraindication,Precision@100
JS-min,0.0,5,autoimmune,contraindication,Precision@10
JS-min,0.0018841262364578427,5,autoimmune,contraindication,Precision@K
HGT,0.627242560579637,5,autoimmune,contraindication,AUPRC
HGT,0.6533052937765942,5,autoimmune,contraindication,AUROC
HGT,0.2681968055496082,5,autoimmune,contraindication,Recall@100
HGT,0.7064541836032684,5,autoimmune,contraindication,Avg Rank
HGT,0.04454545454545455,5,autoimmune,contraindication,Precision@100
HGT,0.02727272727272728,5,autoimmune,contraindication,Precision@10
HGT,0.03923692887423458,5,autoimmune,contraindication,Precision@K
HAN,0.44032280769785104,5,autoimmune,contraindication,AUPRC
HAN,0.3830937195978813,5,autoimmune,contraindication,AUROC
HAN,0.13666213892144727,5,autoimmune,contraindication,Recall@100
HAN,0.4075459377476765,5,autoimmune,contraindication,Avg Rank
HAN,0.025454545454545455,5,autoimmune,contraindication,Precision@100
HAN,0.018181818181818184,5,autoimmune,contraindication,Precision@10
HAN,0.02232470505756444,5,autoimmune,contraindication,Precision@K
RGCN,0.6785346791725211,5,autoimmune,contraindication,AUPRC
RGCN,0.6989318108116076,5,autoimmune,contraindication,AUROC
RGCN,0.14408757469202868,5,autoimmune,contraindication,Recall@100
RGCN,0.5246013335681773,5,autoimmune,contraindication,Avg Rank
RGCN,0.04363636363636364,5,autoimmune,contraindication,Precision@100
RGCN,0.02727272727272728,5,autoimmune,contraindication,Precision@10
RGCN,0.03803256192372077,5,autoimmune,contraindication,Precision@K
BioBERT,0.40791768403207374,5,autoimmune,contraindication,AUPRC
BioBERT,0.354104224604711,5,autoimmune,contraindication,AUROC
BioBERT,0.01832276250880902,5,autoimmune,contraindication,Recall@100
BioBERT,0.46700898031079363,5,autoimmune,contraindication,Avg Rank
BioBERT,0.0036363636363636364,5,autoimmune,contraindication,Precision@100
BioBERT,0.0,5,autoimmune,contraindication,Precision@10
BioBERT,0.0036422789164083295,5,autoimmune,contraindication,Precision@K
TxGNN,0.8650383104159897,5,autoimmune,contraindication,AUPRC
TxGNN,0.8712080266506814,5,autoimmune,contraindication,AUROC
TxGNN,0.28708819177988515,5,autoimmune,contraindication,Recall@100
TxGNN,0.628630191353796,5,autoimmune,contraindication,Avg Rank
TxGNN,0.0790909090909091,5,autoimmune,contraindication,Precision@100
TxGNN,0.10909090909090909,5,autoimmune,contraindication,Precision@10
TxGNN,0.07843561755424083,5,autoimmune,contraindication,Precision@K
Proximity,0.5026326508151286,5,autoimmune,contraindication,AUPRC
Proximity,0.5235895873664764,5,autoimmune,contraindication,AUROC
Proximity,0.018528071190494922,5,autoimmune,contraindication,Recall@100
Proximity,0.5550448102998615,5,autoimmune,contraindication,Avg Rank
Proximity,0.004545454545454546,5,autoimmune,contraindication,Precision@100
Proximity,0.009090909090909092,5,autoimmune,contraindication,Precision@10
Proximity,0.004825334925346975,5,autoimmune,contraindication,Precision@K
DSD-min,0.5057285328943437,1,metabolic_disorder,contraindication,AUPRC
DSD-min,0.5083994750099624,1,metabolic_disorder,contraindication,AUROC
DSD-min,0.007732534831485356,1,metabolic_disorder,contraindication,Recall@100
DSD-min,0.5001437926139531,1,metabolic_disorder,contraindication,Avg Rank
DSD-min,0.0034782608695652175,1,metabolic_disorder,contraindication,Precision@100
DSD-min,0.0,1,metabolic_disorder,contraindication,Precision@10
DSD-min,0.0030617932791845836,1,metabolic_disorder,contraindication,Precision@K
KL-min,0.4878489790113149,1,metabolic_disorder,contraindication,AUPRC
KL-min,0.4947811749394031,1,metabolic_disorder,contraindication,AUROC
KL-min,0.007293672511063816,1,metabolic_disorder,contraindication,Recall@100
KL-min,0.506158623496706,1,metabolic_disorder,contraindication,Avg Rank
KL-min,0.0013043478260869564,1,metabolic_disorder,contraindication,Precision@100
KL-min,0.0,1,metabolic_disorder,contraindication,Precision@10
KL-min,0.0016722408026755855,1,metabolic_disorder,contraindication,Precision@K
JS-min,0.5156363400467621,1,metabolic_disorder,contraindication,AUPRC
JS-min,0.49950462291018505,1,metabolic_disorder,contraindication,AUROC
JS-min,0.05227912184433924,1,metabolic_disorder,contraindication,Recall@100
JS-min,0.4929595104178771,1,metabolic_disorder,contraindication,Avg Rank
JS-min,0.003913043478260869,1,metabolic_disorder,contraindication,Precision@100
JS-min,0.0,1,metabolic_disorder,contraindication,Precision@10
JS-min,0.002343308865047995,1,metabolic_disorder,contraindication,Precision@K
HGT,0.5,1,metabolic_disorder,contraindication,AUPRC
HGT,0.5,1,metabolic_disorder,contraindication,AUROC
HGT,0.0011128364389233953,1,metabolic_disorder,contraindication,Recall@100
HGT,0.6049877471064871,1,metabolic_disorder,contraindication,Avg Rank
HGT,0.0008695652173913044,1,metabolic_disorder,contraindication,Precision@100
HGT,0.0,1,metabolic_disorder,contraindication,Precision@10
HGT,0.0011128364389233953,1,metabolic_disorder,contraindication,Precision@K
HAN,0.5699612153020959,1,metabolic_disorder,contraindication,AUPRC
HAN,0.5588255724255928,1,metabolic_disorder,contraindication,AUROC
HAN,0.19038755866559073,1,metabolic_disorder,contraindication,Recall@100
HAN,0.3535674519428188,1,metabolic_disorder,contraindication,Avg Rank
HAN,0.024347826086956525,1,metabolic_disorder,contraindication,Precision@100
HAN,0.043478260869565216,1,metabolic_disorder,contraindication,Precision@10
HAN,0.04181069693083423,1,metabolic_disorder,contraindication,Precision@K
RGCN,0.5798022191895359,1,metabolic_disorder,contraindication,AUPRC
RGCN,0.6182342640085694,1,metabolic_disorder,contraindication,AUROC
RGCN,0.0511477136013552,1,metabolic_disorder,contraindication,Recall@100
RGCN,0.5498727561067086,1,metabolic_disorder,contraindication,Avg Rank
RGCN,0.01869565217391304,1,metabolic_disorder,contraindication,Precision@100
RGCN,0.017391304347826087,1,metabolic_disorder,contraindication,Precision@10
RGCN,0.0213674197655891,1,metabolic_disorder,contraindication,Precision@K
BioBERT,0.5348648577260529,1,metabolic_disorder,contraindication,AUPRC
BioBERT,0.5202483100512194,1,metabolic_disorder,contraindication,AUROC
BioBERT,0.014492753623188404,1,metabolic_disorder,contraindication,Recall@100
BioBERT,0.5244877747746636,1,metabolic_disorder,contraindication,Avg Rank
BioBERT,0.0004347826086956522,1,metabolic_disorder,contraindication,Precision@100
BioBERT,0.0,1,metabolic_disorder,contraindication,Precision@10
BioBERT,0.0,1,metabolic_disorder,contraindication,Precision@K
TxGNN,0.791214135381072,1,metabolic_disorder,contraindication,AUPRC
TxGNN,0.7882454876813793,1,metabolic_disorder,contraindication,AUROC
TxGNN,0.13274193355764413,1,metabolic_disorder,contraindication,Recall@100
TxGNN,0.6172216269321401,1,metabolic_disorder,contraindication,Avg Rank
TxGNN,0.030000000000000002,1,metabolic_disorder,contraindication,Precision@100
TxGNN,0.008695652173913044,1,metabolic_disorder,contraindication,Precision@10
TxGNN,0.036860154167618855,1,metabolic_disorder,contraindication,Precision@K
Proximity,0.4710847413485274,1,metabolic_disorder,contraindication,AUPRC
Proximity,0.47331544370066797,1,metabolic_disorder,contraindication,AUROC
Proximity,0.016666666666666666,1,metabolic_disorder,contraindication,Recall@100
Proximity,0.509327234266619,1,metabolic_disorder,contraindication,Avg Rank
Proximity,0.0017391304347826088,1,metabolic_disorder,contraindication,Precision@100
Proximity,0.013043478260869568,1,metabolic_disorder,contraindication,Precision@10
Proximity,0.002173913043478261,1,metabolic_disorder,contraindication,Precision@K
DSD-min,0.5058607494368408,2,metabolic_disorder,contraindication,AUPRC
DSD-min,0.505255384255417,2,metabolic_disorder,contraindication,AUROC
DSD-min,0.006541328815060371,2,metabolic_disorder,contraindication,Recall@100
DSD-min,0.5103909508838184,2,metabolic_disorder,contraindication,Avg Rank
DSD-min,0.0034782608695652175,2,metabolic_disorder,contraindication,Precision@100
DSD-min,0.0,2,metabolic_disorder,contraindication,Precision@10
DSD-min,0.0007763975155279503,2,metabolic_disorder,contraindication,Precision@K
KL-min,0.4738110901087273,2,metabolic_disorder,contraindication,AUPRC
KL-min,0.45992198267825346,2,metabolic_disorder,contraindication,AUROC
KL-min,0.006891357434835695,2,metabolic_disorder,contraindication,Recall@100
KL-min,0.48679066114016795,2,metabolic_disorder,contraindication,Avg Rank
KL-min,0.0017391304347826088,2,metabolic_disorder,contraindication,Precision@100
KL-min,0.0,2,metabolic_disorder,contraindication,Precision@10
KL-min,0.00038819875776397513,2,metabolic_disorder,contraindication,Precision@K
JS-min,0.4998669457098191,2,metabolic_disorder,contraindication,AUPRC
JS-min,0.49376848524288103,2,metabolic_disorder,contraindication,AUROC
JS-min,0.007106565764736679,2,metabolic_disorder,contraindication,Recall@100
JS-min,0.5250832633782487,2,metabolic_disorder,contraindication,Avg Rank
JS-min,0.0017391304347826088,2,metabolic_disorder,contraindication,Precision@100
JS-min,0.0,2,metabolic_disorder,contraindication,Precision@10
JS-min,0.0026638466481045194,2,metabolic_disorder,contraindication,Precision@K
HGT,0.5,2,metabolic_disorder,contraindication,AUPRC
HGT,0.5,2,metabolic_disorder,contraindication,AUROC
HGT,0.0011128364389233953,2,metabolic_disorder,contraindication,Recall@100
HGT,0.6049877471064871,2,metabolic_disorder,contraindication,Avg Rank
HGT,0.0008695652173913044,2,metabolic_disorder,contraindication,Precision@100
HGT,0.0,2,metabolic_disorder,contraindication,Precision@10
HGT,0.0011128364389233953,2,metabolic_disorder,contraindication,Precision@K
HAN,0.5587917979836042,2,metabolic_disorder,contraindication,AUPRC
HAN,0.5949716483444168,2,metabolic_disorder,contraindication,AUROC
HAN,0.04488088189461187,2,metabolic_disorder,contraindication,Recall@100
HAN,0.14789968914858473,2,metabolic_disorder,contraindication,Avg Rank
HAN,0.005652173913043478,2,metabolic_disorder,contraindication,Precision@100
HAN,0.034782608695652174,2,metabolic_disorder,contraindication,Precision@10
HAN,0.04290059673354868,2,metabolic_disorder,contraindication,Precision@K
RGCN,0.5826704410495469,2,metabolic_disorder,contraindication,AUPRC
RGCN,0.6196344811701867,2,metabolic_disorder,contraindication,AUROC
RGCN,0.05153591235911918,2,metabolic_disorder,contraindication,Recall@100
RGCN,0.5428743942982128,2,metabolic_disorder,contraindication,Avg Rank
RGCN,0.019130434782608695,2,metabolic_disorder,contraindication,Precision@100
RGCN,0.017391304347826087,2,metabolic_disorder,contraindication,Precision@10
RGCN,0.026038161317889878,2,metabolic_disorder,contraindication,Precision@K
BioBERT,0.5348648577260529,2,metabolic_disorder,contraindication,AUPRC
BioBERT,0.5202483100512194,2,metabolic_disorder,contraindication,AUROC
BioBERT,0.014492753623188404,2,metabolic_disorder,contraindication,Recall@100
BioBERT,0.5244877747746636,2,metabolic_disorder,contraindication,Avg Rank
BioBERT,0.0004347826086956522,2,metabolic_disorder,contraindication,Precision@100
BioBERT,0.0,2,metabolic_disorder,contraindication,Precision@10
BioBERT,0.0,2,metabolic_disorder,contraindication,Precision@K
TxGNN,0.7898268385140186,2,metabolic_disorder,contraindication,AUPRC
TxGNN,0.7865125818468974,2,metabolic_disorder,contraindication,AUROC
TxGNN,0.145381174954875,2,metabolic_disorder,contraindication,Recall@100
TxGNN,0.6314313727413752,2,metabolic_disorder,contraindication,Avg Rank
TxGNN,0.03304347826086956,2,metabolic_disorder,contraindication,Precision@100
TxGNN,0.013043478260869568,2,metabolic_disorder,contraindication,Precision@10
TxGNN,0.03624909606030888,2,metabolic_disorder,contraindication,Precision@K
Proximity,0.47225938052784044,2,metabolic_disorder,contraindication,AUPRC
Proximity,0.4765235130461487,2,metabolic_disorder,contraindication,AUROC
Proximity,0.015217391304347825,2,metabolic_disorder,contraindication,Recall@100
Proximity,0.5230658964188639,2,metabolic_disorder,contraindication,Avg Rank
Proximity,0.0008695652173913044,2,metabolic_disorder,contraindication,Precision@100
Proximity,0.0,2,metabolic_disorder,contraindication,Precision@10
Proximity,0.0007246376811594203,2,metabolic_disorder,contraindication,Precision@K
DSD-min,0.5127180249382092,3,metabolic_disorder,contraindication,AUPRC
DSD-min,0.5004953770898151,3,metabolic_disorder,contraindication,AUROC
DSD-min,0.015850135949954464,3,metabolic_disorder,contraindication,Recall@100
DSD-min,0.48409880789231985,3,metabolic_disorder,contraindication,Avg Rank
DSD-min,0.0030434782608695647,3,metabolic_disorder,contraindication,Precision@100
DSD-min,0.0,3,metabolic_disorder,contraindication,Precision@10
DSD-min,0.0007763975155279503,3,metabolic_disorder,contraindication,Precision@K
KL-min,0.5280616114543342,3,metabolic_disorder,contraindication,AUPRC
KL-min,0.5184276621491688,3,metabolic_disorder,contraindication,AUROC
KL-min,0.00453264908898934,3,metabolic_disorder,contraindication,Recall@100
KL-min,0.4949632137782429,3,metabolic_disorder,contraindication,Avg Rank
KL-min,0.002608695652173913,3,metabolic_disorder,contraindication,Precision@100
KL-min,0.004347826086956522,3,metabolic_disorder,contraindication,Precision@10
KL-min,0.00453264908898934,3,metabolic_disorder,contraindication,Precision@K
JS-min,0.5152383395554916,3,metabolic_disorder,contraindication,AUPRC
JS-min,0.5102530261873512,3,metabolic_disorder,contraindication,AUROC
JS-min,0.011469196720321158,3,metabolic_disorder,contraindication,Recall@100
JS-min,0.49520675074354636,3,metabolic_disorder,contraindication,Avg Rank
JS-min,0.002608695652173913,3,metabolic_disorder,contraindication,Precision@100
JS-min,0.004347826086956522,3,metabolic_disorder,contraindication,Precision@10
JS-min,0.0027235695339143614,3,metabolic_disorder,contraindication,Precision@K
HGT,0.5,3,metabolic_disorder,contraindication,AUPRC
HGT,0.5,3,metabolic_disorder,contraindication,AUROC
HGT,0.0011128364389233953,3,metabolic_disorder,contraindication,Recall@100
HGT,0.6049877471064871,3,metabolic_disorder,contraindication,Avg Rank
HGT,0.0008695652173913044,3,metabolic_disorder,contraindication,Precision@100
HGT,0.0,3,metabolic_disorder,contraindication,Precision@10
HGT,0.0011128364389233953,3,metabolic_disorder,contraindication,Precision@K
HAN,0.5569209193679533,3,metabolic_disorder,contraindication,AUPRC
HAN,0.5738824768123307,3,metabolic_disorder,contraindication,AUROC
HAN,0.22211762303295488,3,metabolic_disorder,contraindication,Recall@100
HAN,0.4982331535402446,3,metabolic_disorder,contraindication,Avg Rank
HAN,0.024782608695652176,3,metabolic_disorder,contraindication,Precision@100
HAN,0.0391304347826087,3,metabolic_disorder,contraindication,Precision@10
HAN,0.030889429030161297,3,metabolic_disorder,contraindication,Precision@K
RGCN,0.5814944446904844,3,metabolic_disorder,contraindication,AUPRC
RGCN,0.6197295350767196,3,metabolic_disorder,contraindication,AUROC
RGCN,0.05232642619311127,3,metabolic_disorder,contraindication,Recall@100
RGCN,0.5607310724287519,3,metabolic_disorder,contraindication,Avg Rank
RGCN,0.019565217391304346,3,metabolic_disorder,contraindication,Precision@100
RGCN,0.017391304347826087,3,metabolic_disorder,contraindication,Precision@10
RGCN,0.0213674197655891,3,metabolic_disorder,contraindication,Precision@K
BioBERT,0.5348648577260529,3,metabolic_disorder,contraindication,AUPRC
BioBERT,0.5202483100512194,3,metabolic_disorder,contraindication,AUROC
BioBERT,0.014492753623188404,3,metabolic_disorder,contraindication,Recall@100
BioBERT,0.5244877747746636,3,metabolic_disorder,contraindication,Avg Rank
BioBERT,0.0004347826086956522,3,metabolic_disorder,contraindication,Precision@100
BioBERT,0.0,3,metabolic_disorder,contraindication,Precision@10
BioBERT,0.0,3,metabolic_disorder,contraindication,Precision@K
TxGNN,0.7925024785518476,3,metabolic_disorder,contraindication,AUPRC
TxGNN,0.7898979632872566,3,metabolic_disorder,contraindication,AUROC
TxGNN,0.159682423935166,3,metabolic_disorder,contraindication,Recall@100
TxGNN,0.6426758731470502,3,metabolic_disorder,contraindication,Avg Rank
TxGNN,0.036086956521739134,3,metabolic_disorder,contraindication,Precision@100
TxGNN,0.021739130434782608,3,metabolic_disorder,contraindication,Precision@10
TxGNN,0.043536292871493694,3,metabolic_disorder,contraindication,Precision@K
Proximity,0.47228099859911976,3,metabolic_disorder,contraindication,AUPRC
Proximity,0.4724965177366933,3,metabolic_disorder,contraindication,AUROC
Proximity,0.02529499486021225,3,metabolic_disorder,contraindication,Recall@100
Proximity,0.5046549351269716,3,metabolic_disorder,contraindication,Avg Rank
Proximity,0.0034782608695652175,3,metabolic_disorder,contraindication,Precision@100
Proximity,0.0,3,metabolic_disorder,contraindication,Precision@10
Proximity,0.0030303030303030303,3,metabolic_disorder,contraindication,Precision@K
DSD-min,0.52823275557244,4,metabolic_disorder,contraindication,AUPRC
DSD-min,0.5243392839516103,4,metabolic_disorder,contraindication,AUROC
DSD-min,0.01569773305155614,4,metabolic_disorder,contraindication,Recall@100
DSD-min,0.5479365380616286,4,metabolic_disorder,contraindication,Avg Rank
DSD-min,0.004347826086956522,4,metabolic_disorder,contraindication,Precision@100
DSD-min,0.004347826086956522,4,metabolic_disorder,contraindication,Precision@10
DSD-min,0.004626919806829851,4,metabolic_disorder,contraindication,Precision@K
KL-min,0.5055107901578362,4,metabolic_disorder,contraindication,AUPRC
KL-min,0.5057818366608293,4,metabolic_disorder,contraindication,AUROC
KL-min,0.02733265018734126,4,metabolic_disorder,contraindication,Recall@100
KL-min,0.5083671529674743,4,metabolic_disorder,contraindication,Avg Rank
KL-min,0.0034782608695652167,4,metabolic_disorder,contraindication,Precision@100
KL-min,0.0,4,metabolic_disorder,contraindication,Precision@10
KL-min,0.002368483918827168,4,metabolic_disorder,contraindication,Precision@K
JS-min,0.5303244814771413,4,metabolic_disorder,contraindication,AUPRC
JS-min,0.5080740981760618,4,metabolic_disorder,contraindication,AUROC
JS-min,0.04149347029781812,4,metabolic_disorder,contraindication,Recall@100
JS-min,0.44742989569556396,4,metabolic_disorder,contraindication,Avg Rank
JS-min,0.0030434782608695656,4,metabolic_disorder,contraindication,Precision@100
JS-min,0.004347826086956522,4,metabolic_disorder,contraindication,Precision@10
JS-min,0.0018374741200828158,4,metabolic_disorder,contraindication,Precision@K
HGT,0.5087115858732141,4,metabolic_disorder,contraindication,AUPRC
HGT,0.5076171082408081,4,metabolic_disorder,contraindication,AUROC
HGT,0.01418521508476531,4,metabolic_disorder,contraindication,Recall@100
HGT,0.40017677942360363,4,metabolic_disorder,contraindication,Avg Rank
HGT,0.005652173913043478,4,metabolic_disorder,contraindication,Precision@100
HGT,0.008695652173913044,4,metabolic_disorder,contraindication,Precision@10
HGT,0.006342982354976358,4,metabolic_disorder,contraindication,Precision@K
HAN,0.5631173631093263,4,metabolic_disorder,contraindication,AUPRC
HAN,0.5631834284481718,4,metabolic_disorder,contraindication,AUROC
HAN,0.11298748924607048,4,metabolic_disorder,contraindication,Recall@100
HAN,0.2980066860414457,4,metabolic_disorder,contraindication,Avg Rank
HAN,0.016086956521739134,4,metabolic_disorder,contraindication,Precision@100
HAN,0.026086956521739136,4,metabolic_disorder,contraindication,Precision@10
HAN,0.020063708221602958,4,metabolic_disorder,contraindication,Precision@K
RGCN,0.581264261796559,4,metabolic_disorder,contraindication,AUPRC
RGCN,0.6194407174376392,4,metabolic_disorder,contraindication,AUROC
RGCN,0.05303516273393177,4,metabolic_disorder,contraindication,Recall@100
RGCN,0.5572379798985737,4,metabolic_disorder,contraindication,Avg Rank
RGCN,0.019565217391304346,4,metabolic_disorder,contraindication,Precision@100
RGCN,0.017391304347826087,4,metabolic_disorder,contraindication,Precision@10
RGCN,0.022092057446748522,4,metabolic_disorder,contraindication,Precision@K
BioBERT,0.5348648577260529,4,metabolic_disorder,contraindication,AUPRC
BioBERT,0.5202483100512194,4,metabolic_disorder,contraindication,AUROC
BioBERT,0.014492753623188404,4,metabolic_disorder,contraindication,Recall@100
BioBERT,0.5244877747746636,4,metabolic_disorder,contraindication,Avg Rank
BioBERT,0.0004347826086956522,4,metabolic_disorder,contraindication,Precision@100
BioBERT,0.0,4,metabolic_disorder,contraindication,Precision@10
BioBERT,0.0,4,metabolic_disorder,contraindication,Precision@K
TxGNN,0.785774313053122,4,metabolic_disorder,contraindication,AUPRC
TxGNN,0.7833959104884675,4,metabolic_disorder,contraindication,AUROC
TxGNN,0.14134351646582374,4,metabolic_disorder,contraindication,Recall@100
TxGNN,0.6186051183727597,4,metabolic_disorder,contraindication,Avg Rank
TxGNN,0.03260869565217392,4,metabolic_disorder,contraindication,Precision@100
TxGNN,0.013043478260869568,4,metabolic_disorder,contraindication,Precision@10
TxGNN,0.03651427940270362,4,metabolic_disorder,contraindication,Precision@K
Proximity,0.4793800413993099,4,metabolic_disorder,contraindication,AUPRC
Proximity,0.4842064278376333,4,metabolic_disorder,contraindication,AUROC
Proximity,0.0152832674571805,4,metabolic_disorder,contraindication,Recall@100
Proximity,0.5194163032263951,4,metabolic_disorder,contraindication,Avg Rank
Proximity,0.0008695652173913044,4,metabolic_disorder,contraindication,Precision@100
Proximity,0.0,4,metabolic_disorder,contraindication,Precision@10
Proximity,0.0,4,metabolic_disorder,contraindication,Precision@K
DSD-min,0.5101903637253704,5,metabolic_disorder,contraindication,AUPRC
DSD-min,0.5004661297339588,5,metabolic_disorder,contraindication,AUROC
DSD-min,0.017169891074057413,5,metabolic_disorder,contraindication,Recall@100
DSD-min,0.47158546647836097,5,metabolic_disorder,contraindication,Avg Rank
DSD-min,0.003913043478260869,5,metabolic_disorder,contraindication,Precision@100
DSD-min,0.0,5,metabolic_disorder,contraindication,Precision@10
DSD-min,0.0011787125917560699,5,metabolic_disorder,contraindication,Precision@K
KL-min,0.49028489420999327,5,metabolic_disorder,contraindication,AUPRC
KL-min,0.47768975136091596,5,metabolic_disorder,contraindication,AUROC
KL-min,0.004205958038909984,5,metabolic_disorder,contraindication,Recall@100
KL-min,0.4700766290344445,5,metabolic_disorder,contraindication,Avg Rank
KL-min,0.0026086956521739132,5,metabolic_disorder,contraindication,Precision@100
KL-min,0.0,5,metabolic_disorder,contraindication,Precision@10
KL-min,0.0007763975155279503,5,metabolic_disorder,contraindication,Precision@K
JS-min,0.517447797917972,5,metabolic_disorder,contraindication,AUPRC
JS-min,0.5085128085139052,5,metabolic_disorder,contraindication,AUROC
JS-min,0.049109166520197846,5,metabolic_disorder,contraindication,Recall@100
JS-min,0.5286239517585304,5,metabolic_disorder,contraindication,Avg Rank
JS-min,0.006521739130434784,5,metabolic_disorder,contraindication,Precision@100
JS-min,0.0,5,metabolic_disorder,contraindication,Precision@10
JS-min,0.0020148329930938626,5,metabolic_disorder,contraindication,Precision@K
HGT,0.5740937031997396,5,metabolic_disorder,contraindication,AUPRC
HGT,0.5786936668506814,5,metabolic_disorder,contraindication,AUROC
HGT,0.022338761937712462,5,metabolic_disorder,contraindication,Recall@100
HGT,0.2999231017117664,5,metabolic_disorder,contraindication,Avg Rank
HGT,0.0026086956521739132,5,metabolic_disorder,contraindication,Precision@100
HGT,0.0,5,metabolic_disorder,contraindication,Precision@10
HGT,0.0027235695339143614,5,metabolic_disorder,contraindication,Precision@K
HAN,0.5541455313901587,5,metabolic_disorder,contraindication,AUPRC
HAN,0.5510750231236907,5,metabolic_disorder,contraindication,AUROC
HAN,0.22642567513848977,5,metabolic_disorder,contraindication,Recall@100
HAN,0.3730905567772377,5,metabolic_disorder,contraindication,Avg Rank
HAN,0.026956521739130438,5,metabolic_disorder,contraindication,Precision@100
HAN,0.021739130434782608,5,metabolic_disorder,contraindication,Precision@10
HAN,0.01909093004630762,5,metabolic_disorder,contraindication,Precision@K
